Ver. 1.0					
double	double	double	double	double	double #
233	223	275	226	224	224
232	222	307	226	224	223
231	223	351	226	224	223
228	222	382	226	223	223
230	222	379	225	224	223
225	222	385	225	224	224
224	222	384	225	224	223
224	222	390	225	224	222
224	222	395	225	224	223
227	223	363	225	224	223
226	223	298	226	224	223
226	223	282	226	224	224
227	222	265	226	225	223
227	223	250	226	224	223
227	223	269	226	225	223
227	223	288	226	224	223
230	223	288	226	224	223
244	223	291	226	224	222
251	222	304	226	224	224
255	222	311	226	224	223
258	222	310	226	224	223
252	222	341	226	224	223
257	222	347	226	224	223
271	222	351	226	224	223
311	222	358	226	224	223
339	222	366	226	224	222
333	222	380	226	223	223
323	223	379	225	224	223
298	222	429	226	223	222
301	222	446	225	223	222
330	222	458	225	223	222
335	221	462	225	223	222
342	222	474	225	224	222
353	222	481	225	223	222
337	221	481	225	223	222
325	222	484	225	223	222
297	222	470	225	223	222
300	221	432	225	224	222
295	222	448	225	223	222
292	222	424	226	223	222
328	222	423	225	224	222
330	222	435	225	224	222
310	222	414	225	224	223
314	222	406	225	224	222
331	222	413	225	224	223
337	222	407	225	224	222
342	222	408	225	224	222
347	222	404	226	224	222
341	222	429	225	224	223
350	222	409	225	224	223
336	222	402	225	224	223
325	222	395	225	224	222
307	222	388	225	224	222
305	222	388	225	224	222
288	222	378	225	224	223
298	222	380	225	224	223
287	222	378	226	224	222
251	223	375	225	224	223
254	222	370	226	224	223
246	223	348	226	224	222
253	222	350	226	224	223
242	224	323	226	224	223
242	223	301	226	224	224
229	223	316	226	224	223
224	223	343	226	224	222
224	222	355	225	224	223
224	222	366	225	224	222
224	222	368	225	224	223
224	222	360	226	224	223
224	222	374	226	224	222
224	222	381	226	224	223
223	222	381	226	224	223
224	222	377	225	224	222
224	222	371	226	224	223
224	224	312	226	225	222
224	223	270	226	224	223
225	223	248	226	225	223
223	223	224	226	224	223
224	222	224	226	225	224
224	223	226	226	225	223
224	223	239	226	225	224
224	224	236	226	225	223
224	223	224	226	225	223
224	223	226	226	225	224
224	222	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	222
224	223	224	226	225	223
225	223	224	226	225	224
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	224	224
224	223	224	225	225	223
224	223	224	226	225	223
225	223	224	226	225	224
223	222	224	226	225	223
224	223	224	226	225	223
224	224	224	226	225	222
224	223	224	226	224	223
224	223	224	226	225	222
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	224
224	223	224	226	224	223
224	224	224	226	224	224
224	223	224	226	225	223
225	223	224	226	225	223
224	223	224	226	224	224
224	223	224	226	224	223
224	223	224	226	224	224
224	224	224	226	225	223
225	223	224	226	224	223
223	223	224	226	225	224
224	223	224	226	225	224
224	222	224	226	225	224
224	223	224	226	225	224
224	223	224	226	225	223
225	223	224	226	225	224
224	223	224	227	225	223
224	222	224	226	225	224
224	222	224	226	225	224
224	224	224	226	224	223
223	223	224	226	225	224
225	223	224	226	225	223
223	223	224	226	225	223
224	222	224	226	224	224
224	223	224	226	224	224
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	227	224	223
224	222	224	226	225	224
224	224	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	225	224
224	223	224	226	225	224
224	223	224	226	225	223
224	223	224	226	225	223
224	223	224	226	224	223
224	223	224	226	225	224
224	223	224	226	225	223
224	224	224	226	225	224
224	223	224	226	225	224
224	223	224	226	224	223
224	223	224	226	225	223
224	223	225	226	225	223
224	223	224	226	225	223
223	224	224	226	225	223
224	223	224	227	225	223
224	223	224	226	224	224
224	223	224	226	225	224
