Ver. 1.0
d_time double double # 
 11.911761 529.628254 523.339956
 11.930201 527.088475 523.801987
 11.979446 528.426543 525.340597
 12.032150 529.527964 526.502180
 12.089673 531.258390 526.150654
 12.134717 533.877519 524.645195
 12.160611 535.363256 525.593559
 12.212207 537.208978 524.478067
 12.257120 539.162695 524.143420
 12.313965 538.348808 523.343026
 12.362403 538.804643 523.802908
 12.414244 542.441395 525.340873
 12.468971 544.932420 525.802262
 12.517066 548.479728 525.940679
 12.550051 548.843919 526.682204
 12.618688 550.353176 526.904661
 12.669302 550.105953 526.971398
 12.744305 550.731786 526.291419
 12.771206 553.019537 526.787426
 12.846668 552.305861 527.636228
 12.899433 549.291756 527.890869
 12.920893 550.487528 527.967261
 13.001817 548.046257 529.390179
 13.052211 543.813875 531.217055
 13.124478 536.244158 532.465117
 13.146267 536.773248 532.839535
 13.224480 514.531961 533.651861
 13.282113 506.459584 532.495558
 13.330841 494.937868 532.848668
 13.378876 471.181347 532.254600
 13.429152 463.354400 531.376379
 13.484305 465.906321 535.312916
 13.529328 461.771894 533.693874
 13.576982 464.031570 533.208162
 13.629146 471.009475 533.762449
 13.760622 469.602842 530.428733
 13.850778 470.580853 530.828620
 13.890107 468.774255 530.948586
 13.923173 467.532276 532.384577
 13.962489 467.159683 533.515374
 14.014770 467.047905 532.454611
 14.094668 471.914374 532.836384
 14.166738 474.074314 532.950915
 14.213976 474.022294 531.585274
 14.259189 468.406685 530.475581
 14.288429 471.622007 530.842675
 14.338520 471.886602 530.252802
 14.387064 477.565984 530.075841
 14.444822 481.369797 530.022752
 14.499670 486.010942 528.606825
 14.550896 481.103280 528.882048
 14.589351 485.930987 529.664615
 14.646533 490.879299 529.899385
 14.701945 492.363791 529.269815
 14.743499 494.909139 529.080944
 14.795701 497.772743 530.424284
 14.852386 501.431825 531.527286
 14.924504 503.229549 532.558186
 14.946459 501.668864 532.867456
 15.026548 501.900659 533.660237
 15.081805 499.170196 533.898071
 15.148371 500.451060 534.669422
 15.203546 501.535319 535.600827
 15.287257 505.360598 535.880248
 15.331754 507.908181 535.964075
 15.352966 505.172453 536.689223
 15.406637 505.751736 536.906767
 15.460541 508.025522 536.972030
 15.511480 510.107658 536.991609
 15.543520 510.032297 536.297482
 15.583869 507.909688 536.089245
 15.660445 507.972906 536.726774
 15.712744 507.291872 536.918032
 15.745939 504.987560 536.975410
 15.803615 502.196266 536.292623
 15.848571 502.058880 535.387786
 15.890440 502.717664 535.816336
 15.935346 502.215299 536.644901
 15.965643 501.364589 536.893471
 16.010839 504.609379 536.968041
 16.064459 498.582810 534.890411
 16.117527 491.874839 532.867122
 16.135695 488.462450 532.960137
 16.189642 484.638733 531.588040
 16.237734 483.491619 531.176412
 16.290150 485.947487 531.752924
 16.338072 490.884249 532.625878
 16.421093 493.065276 530.787762
 16.470274 490.219581 531.636329
 16.520597 484.465871 532.590899
 16.573017 480.639759 532.177270
 16.621099 480.191927 532.053181
 16.672014 482.157579 532.015954
 16.720329 482.047274 532.704787
 16.776045 483.414183 533.611437
 16.823790 483.124255 534.583432
 16.881300 483.737277 532.775028
 16.926607 481.121182 534.332509
 17.026720 478.236353 534.799753
 17.106737 485.070910 536.339927
 17.149967 480.121270 537.501979
 17.228769 483.536383 537.150593
