Ver. 1.0
d_time double double # 
 0.129108 545.585059 557.999269
 0.172072 545.875518 555.899780
 0.223070 545.962655 557.369935
 0.280646 545.288796 557.110980
 0.320850 542.286637 557.033294
 0.374555 540.685990 557.009988
 0.422153 538.805796 557.002996
 0.472528 538.241738 557.000899
 0.524798 538.072521 557.000270
 0.547793 538.721757 557.700081
 0.600712 541.016528 557.910025
 0.654622 540.304958 557.273007
 0.704051 539.391487 557.081902
 0.724748 539.117446 556.324570
 0.778601 537.635233 556.097371
 0.855682 537.190570 554.629210
 0.900636 534.957170 553.488762
 0.925043 530.787148 553.146629
 0.981450 525.336141 552.343988
 1.029602 525.800843 551.403196
 1.087337 525.240252 551.120959
 1.120346 525.072076 551.036288
 1.161082 524.321622 550.310886
 1.212819 524.796487 550.093266
 1.262839 524.238946 550.027980
 1.312228 526.871685 550.008394
 1.334175 526.961506 549.302518
 1.384884 527.688452 549.790756
 1.462611 530.006537 549.937227
 1.515066 531.401962 550.681168
 1.537232 532.520589 550.904351
 1.588077 532.856177 550.971305
 1.642462 533.656854 550.991392
 1.693942 534.597057 551.697418
 1.738928 534.179117 551.909225
 1.808601 534.053735 551.972768
 1.847650 532.616120 552.691831
 1.899746 532.184836 552.207549
 1.944754 531.355450 552.762265
 1.967841 529.706634 552.928680
 2.018636 528.511990 552.978604
 2.070733 528.153597 552.993581
 2.122619 528.046079 552.998074
 2.143806 527.313823 552.999422
 2.191245 526.394146 552.999827
 2.243359 525.418243 552.999948
 2.325136 528.625475 552.999984
 2.382258 528.887643 552.999995
 2.424177 520.566288 551.599998
 2.482565 508.969880 551.179999
 2.527788 494.990956 551.054000
 2.559659 483.797280 551.016200
 2.629088 480.439182 551.004860
 2.684999 476.631752 551.001458
 2.730149 471.989523 551.000437
 2.762431 468.496855 550.300131
 2.810521 463.949054 548.690038
 2.861469 461.884715 547.507011
 2.912107 458.465413 547.152103
 2.931733 460.239625 545.645630
 2.984573 460.771888 545.193689
 3.043655 465.131569 544.358106
 3.096293 463.639470 541.307430
 3.140913 463.191841 539.692228
 3.160347 463.757553 537.807667
 3.214470 463.927266 537.242300
 3.259498 461.878179 536.372689
 3.286639 460.563453 534.711806
 3.336997 460.869036 532.813541
 3.387715 458.860710 530.844061
 3.455612 458.958213 528.853217
 3.495360 459.687464 526.855964
 3.540024 460.606240 526.256789
 3.587941 462.281873 525.377036
 3.647249 463.484563 525.113111
 3.696918 465.245370 525.733934
 3.742040 467.173612 526.620181
 3.772242 469.152085 527.586055
 3.860837 468.345625 528.575817
 3.899904 467.403687 528.872745
 3.932288 463.621104 529.661824
 3.974180 460.386329 529.198547
 4.040557 459.415898 529.759564
 4.082078 459.124769 530.627870
 4.127354 459.037431 530.888361
 4.156063 461.111230 530.266508
 4.227632 458.933368 530.079952
 4.275751 456.180009 530.723986
 4.297564 454.654002 528.817195
 4.349619 452.796199 529.645159
 4.404514 455.738862 530.593548
 4.468418 461.521662 530.878065
 4.530337 463.956500 529.563419
 4.561848 466.786952 530.569026
 4.618922 472.536089 530.870708
 4.658016 470.760826 530.961212
 4.680850 470.928248 530.288363
 4.731788 473.078476 530.786509
 4.779955 480.723547 531.635953
 4.834939 489.317069 532.590787
 4.888848 496.095125 533.577237
 4.922679 498.828539 534.573172
 4.964526 499.648562 534.871952
 5.014425 502.694570 535.661586
 5.062274 506.408373 535.898476
 5.126724 509.622514 537.369544
 5.166914 511.986756 537.810863
 5.220696 515.496029 538.643259
 5.275152 518.648810 538.892978
 5.299063 521.694645 539.667894
 5.350493 519.808392 539.900368
 5.386856 514.342515 540.670111
 5.443858 510.602752 540.901033
 5.519052 496.180817 540.270310
 5.540494 486.954240 540.081093
 5.632766 477.186266 538.624327
 5.669757 479.155881 539.587299
 5.721981 483.246767 540.576190
 5.739675 484.474031 541.572858
 5.795060 484.142209 542.571858
 5.843383 484.742663 542.871558
 5.865851 480.722797 542.961467
 5.923784 489.316844 543.688441
 5.970792 489.095053 543.906532
 6.022767 488.328515 543.271959
 6.104450 490.198556 543.781588
 6.125203 493.559569 544.634477
 6.178792 500.167874 544.890343
 6.240407 498.650361 544.967103
 6.270733 494.695106 544.990131
 6.329036 498.408534 545.697040
 6.380795 503.022563 546.609112
 6.431766 505.106770 546.182733
 6.486771 507.832033 546.754820
 6.528625 507.249609 546.926446
 6.581533 508.474884 546.977934
 6.633467 507.442464 544.893379
 6.689416 507.832740 545.668014
 6.734564 507.249822 546.600405
 6.785513 509.174948 547.580122
 6.853523 510.452485 547.874037
 6.892640 505.935743 547.262211
 6.937679 497.580718 546.378663
 6.965354 493.674213 546.113599
 7.014170 497.402266 546.734080
 7.065427 501.320682 546.920224
 7.117509 501.096204 546.976067
 7.139771 501.728862 547.692821
 7.190840 494.918655 548.607847
 7.238590 485.175591 547.482353
 7.296505 475.252671 546.444705
 7.341621 470.175799 545.433411
 7.371129 462.352735 545.130023
 7.416125 459.305819 545.039007
 7.468316 459.091745 544.311702
 7.546907 459.027524 544.093510
 7.573995 459.708257 544.028053
 7.621125 462.012479 544.008416
 7.681147 463.403744 542.602524
 7.726229 465.221124 541.480757
 7.746174 465.066337 539.044226
 7.813614 465.719902 536.913266
 7.852713 466.615971 535.573979
 7.906752 466.884791 534.472193
 7.926843 465.565437 533.441657
 7.974787 464.469630 532.432497
 8.029884 464.140889 531.429748
 8.106968 464.042267 529.028923
 8.151347 464.012680 528.308677
 8.207135 464.703804 527.392602
 8.251816 464.911141 528.517781
 8.309644 466.373343 527.455334
 8.360449 465.412002 525.736599
 8.408947 464.423600 524.520979
 8.488231 466.227081 523.456293
 8.533357 466.068124 523.836888
 8.582129 466.720438 523.251066
 8.633005 464.116130 523.075320
 8.690841 462.634838 522.322595
 8.736221 463.590452 522.096779
 8.765949 463.177135 522.729034
 8.813025 467.253143 522.218710
 8.864844 469.175944 523.465614
 8.917628 471.852785 524.539685
 8.938520 474.755837 525.561906
 8.987364 475.626752 525.868572
 9.044497 471.688023 525.960572
 9.089644 466.306404 525.988172
 9.113516 463.291919 524.596451
 9.166943 463.087576 523.478935
 9.220850 463.026273 520.343679
 9.240471 465.107883 520.103103
 9.292356 465.732365 520.030931
 9.343396 467.319710 520.709280
 9.396001 468.495914 520.212784
 9.462857 470.948776 520.763835
 9.500587 471.684633 522.329152
 9.522152 473.305391 522.798746
 9.572076 475.191618 522.939624
 9.624153 476.457486 523.681888
 9.681633 478.237247 525.304567
 9.726613 479.471175 525.791370
 9.748193 479.841353 526.637412
 9.810287 475.752403 529.691225
 9.867344 475.225721 527.807366
 9.907711 476.467717 529.342211
 9.926599 478.240316 527.702662
 9.976819 478.772095 527.210798
 10.029115 478.931629 527.063239
 10.087131 476.879487 527.018972
 10.132168 475.563845 526.305691
 10.150992 474.469153 525.391707
 10.208943 470.640744 524.417511
 10.253692 468.092222 523.425253
 10.312050 465.927665 522.427575
 10.335537 464.578299 522.128272
 10.385632 464.173489 519.938480
 10.442416 462.652046 520.681545
 10.492414 463.595614 520.904463
 10.537426 462.478684 520.271339
 10.562651 462.143605 519.381401
 10.613824 461.343081 519.114420
 10.659002 462.502925 519.734326
 10.688351 460.750876 520.620298
 10.738028 454.625259 520.886090
 10.790738 451.387576 520.965827
 10.848092 449.016271 520.989748
 10.899253 448.304881 521.696925
 10.952749 448.091464 520.509077
 11.010098 450.827441 520.852723
 11.049334 453.748234 520.255817
 11.099404 461.624475 520.076745
 11.120534 465.387345 520.723024
 11.173580 469.316206 520.916907
 11.222950 473.994864 520.975072
 11.297829 482.398464 520.992522
 11.321527 489.119543 521.697757
 11.366599 493.935866 522.609328
 11.381074 498.880763 522.882798
 11.481071 502.464231 522.964840
 11.550392 508.439273 522.289451
 11.602787 518.631788 521.386835
 11.657031 523.789539 523.216052
 11.705579 531.636866 522.364815
 11.724181 537.491063 522.109444
 11.772785 540.647321 521.332833
 11.817775 538.094195 521.799850
